,Date,Code,Name,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Volume,Adjusted Price
515,2022-02-07,NBK,National Bank of Kenya Ltd,4.12,4.12,4.12,4.12,4.12,4.12,0.0,0.0,0.0
516,2022-02-07,NCBA,NCBA Group Plc,23.0,29.0,25.5,26.0,25.55,25.75,-0.2,11500.0,0.0
517,2022-02-07,SBIC,Stanbic Holdings Plc,78.0,106.0,87.25,87.25,87.25,87.25,0.0,0.0,0.0
518,2022-02-07,SCBK,Standard Chartered Bank Kenya Ltd,123.0,148.75,135.75,137.5,137.25,136.0,1.25,9400.0,0.0
519,2022-02-07,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,0.0,0.0,0.0
520,2022-02-08,EGAD,Eaagads Ltd,10.0,15.0,13.5,13.5,13.5,13.5,0.0,100.0,0.0
521,2022-02-08,KUKZ,Kakuzi Plc,355.0,427.0,418.0,418.0,418.0,418.0,0.0,0.0,0.0
522,2022-02-08,KAPC,Kapchorua Tea Kenya Plc,80.0,101.0,92.25,92.25,92.25,92.0,0.25,100.0,0.0
523,2022-02-08,LIMT,Limuru Tea Plc,260.0,360.0,320.0,320.0,320.0,320.0,0.0,0.0,0.0
524,2022-02-08,SASN,Sasini Plc,16.75,22.6,20.5,22.5,21.1,21.0,0.1,17700.0,0.0
525,2022-02-08,WTK,Williamson Tea Kenya Plc,125.0,154.75,130.0,131.0,130.0,135.0,-5.0,27100.0,0.0
526,2022-02-08,CGEN,Car and General (K) Ltd,10.0,70.0,62.0,62.0,62.0,61.5,0.5,1300.0,31.0
527,2022-02-08,ABSA,ABSA Bank Kenya Plc,8.6,12.95,11.2,11.7,11.4,11.4,0.0,172300.0,0.0
528,2022-02-08,BKG,BK Group Plc,24.3,40.0,28.0,28.0,28.0,28.05,-0.05,100.0,0.0
529,2022-02-08,COOP,Co-operative Bank of Kenya Ltd,11.5,14.0,12.85,13.0,13.0,12.95,0.05,1297600.0,0.0
530,2022-02-08,DTK,Diamond Trust Bank Kenya Ltd,54.0,69.0,58.5,60.0,58.75,59.0,-0.25,5200.0,0.0
531,2022-02-08,EQTY,Equity Group Holdings Plc,39.0,55.0,52.0,53.0,52.75,53.0,-0.25,839500.0,0.0
532,2022-02-08,HFCK,HF Group Ltd,2.8,5.2,3.4,3.55,3.41,3.5,-0.09,94200.0,0.0
533,2022-02-08,IMH,I & M Holdings Plc,18.0,26.0,21.4,21.5,21.5,21.45,0.05,12100.0,0.0
534,2022-02-08,KCB,KCB Group Plc,37.0,50.75,46.25,47.0,46.45,46.75,-0.3,203900.0,0.0
535,2022-02-08,NBK,National Bank of Kenya Ltd,4.12,4.12,4.12,4.12,4.12,4.12,0.0,0.0,0.0
536,2022-02-08,NCBA,NCBA Group Plc,23.0,29.0,25.1,25.6,25.5,25.55,-0.05,105600.0,0.0
537,2022-02-08,SBIC,Stanbic Holdings Plc,78.0,106.0,87.25,87.75,87.75,87.25,0.5,1100.0,0.0
538,2022-02-08,SCBK,Standard Chartered Bank Kenya Ltd,123.0,148.75,137.25,139.0,137.75,137.25,0.5,19900.0,0.0
539,2022-02-08,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,0.0,0.0,0.0
540,2022-02-09,EGAD,Eaagads Ltd,10.0,15.0,13.1,13.15,13.1,13.5,-0.4,1000.0,0.0
541,2022-02-09,KUKZ,Kakuzi Plc,355.0,427.0,418.0,418.0,418.0,418.0,0.0,100.0,0.0
542,2022-02-09,KAPC,Kapchorua Tea Kenya Plc,80.0,101.0,92.0,92.0,92.0,92.25,-0.25,100.0,0.0
543,2022-02-09,LIMT,Limuru Tea Plc,260.0,360.0,320.0,320.0,320.0,320.0,0.0,0.0,0.0
544,2022-02-09,SASN,Sasini Plc,16.75,22.6,21.0,21.1,21.0,21.1,-0.1,900.0,0.0
545,2022-02-09,WTK,Williamson Tea Kenya Plc,125.0,154.75,135.0,135.0,135.0,130.0,5.0,200.0,0.0
546,2022-02-09,CGEN,Car and General (K) Ltd,10.0,70.0,61.0,61.0,61.0,62.0,-1.0,1700.0,30.5
547,2022-02-09,ABSA,ABSA Bank Kenya Plc,8.6,12.95,11.4,11.7,11.55,11.4,0.15,66400.0,0.0
548,2022-02-09,BKG,BK Group Plc,24.3,40.0,30.0,30.0,30.0,28.0,2.0,200.0,0.0
549,2022-02-09,COOP,Co-operative Bank of Kenya Ltd,11.5,14.0,12.85,13.0,12.9,13.0,-0.1,672400.0,0.0
550,2022-02-09,DTK,Diamond Trust Bank Kenya Ltd,54.0,69.0,59.0,60.0,59.0,58.75,0.25,153000.0,0.0
551,2022-02-09,EQTY,Equity Group Holdings Plc,39.0,55.0,52.0,53.75,52.5,52.75,-0.25,6720900.0,0.0
552,2022-02-09,HFCK,HF Group Ltd,2.8,5.2,3.38,3.42,3.4,3.41,-0.01,40500.0,0.0
553,2022-02-09,IMH,I & M Holdings Plc,18.0,26.0,21.1,21.5,21.45,21.5,-0.05,22800.0,0.0
554,2022-02-09,KCB,KCB Group Plc,37.0,50.75,45.5,46.5,46.0,46.45,-0.45,1346600.0,0.0
555,2022-02-09,NBK,National Bank of Kenya Ltd,4.12,4.12,4.12,4.12,4.12,4.12,0.0,0.0,0.0
556,2022-02-09,NCBA,NCBA Group Plc,23.0,29.0,25.3,26.0,25.6,25.5,0.1,31800.0,0.0
557,2022-02-09,SBIC,Stanbic Holdings Plc,78.0,106.0,94.0,94.0,94.0,87.75,6.25,100.0,0.0
558,2022-02-09,SCBK,Standard Chartered Bank Kenya Ltd,123.0,148.75,137.25,137.75,137.75,137.75,0.0,2400.0,0.0
559,2022-02-09,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,0.0,0.0,0.0
560,2022-02-10,EGAD,Eaagads Ltd,10.0,15.0,13.1,13.1,13.1,13.1,0.0,0.0,0.0
561,2022-02-10,KUKZ,Kakuzi Plc,358.25,427.0,418.0,418.0,418.0,418.0,0.0,0.0,0.0
562,2022-02-10,KAPC,Kapchorua Tea Kenya Plc,80.0,101.0,92.0,92.0,92.0,92.0,0.0,0.0,0.0
563,2022-02-10,LIMT,Limuru Tea Plc,260.0,350.0,320.0,320.0,320.0,320.0,0.0,0.0,0.0
564,2022-02-10,SASN,Sasini Plc,16.75,22.6,20.1,21.0,20.95,21.0,-0.05,10600.0,0.0
565,2022-02-10,WTK,Williamson Tea Kenya Plc,120.0,154.75,134.0,134.0,134.0,135.0,-1.0,100.0,0.0
566,2022-02-10,CGEN,Car and General (K) Ltd,10.0,70.0,62.0,62.0,62.0,61.0,1.0,1000.0,31.0
567,2022-02-10,ABSA,ABSA Bank Kenya Plc,8.6,12.95,11.45,11.8,11.6,11.55,0.05,236600.0,0.0
568,2022-02-10,BKG,BK Group Plc,24.3,40.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0
569,2022-02-10,COOP,Co-operative Bank of Kenya Ltd,11.5,14.0,12.8,13.0,12.85,12.9,-0.05,135000.0,0.0
570,2022-02-10,DTK,Diamond Trust Bank Kenya Ltd,54.0,69.0,59.0,60.0,60.0,59.0,1.0,3300.0,0.0
571,2022-02-10,EQTY,Equity Group Holdings Plc,39.25,55.0,52.5,53.0,53.0,52.5,0.5,1886800.0,0.0
572,2022-02-10,HFCK,HF Group Ltd,2.8,5.2,3.39,3.64,3.42,3.4,0.02,10200.0,0.0
573,2022-02-10,IMH,I & M Holdings Plc,18.0,26.0,21.4,21.45,21.45,21.45,0.0,6800.0,0.0
574,2022-02-10,KCB,KCB Group Plc,37.0,50.75,45.6,46.25,46.0,46.0,0.0,1323400.0,0.0
575,2022-02-10,NBK,National Bank of Kenya Ltd,4.12,4.12,4.12,4.12,4.12,4.12,0.0,0.0,0.0
576,2022-02-10,NCBA,NCBA Group Plc,23.0,29.0,25.1,25.8,25.35,25.6,-0.25,34500.0,0.0
577,2022-02-10,SBIC,Stanbic Holdings Plc,78.0,106.0,87.5,95.0,94.75,94.0,0.75,5100.0,0.0
578,2022-02-10,SCBK,Standard Chartered Bank Kenya Ltd,123.0,148.75,136.5,137.5,137.5,137.75,-0.25,21600.0,0.0
579,2022-02-10,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,0.0,0.0,0.0
580,2022-02-11,EGAD,Eaagads Ltd,10.0,15.0,13.1,13.1,13.1,13.1,0.0,0.0,0.0
581,2022-02-11,KUKZ,Kakuzi Plc,355.0,427.0,410.0,410.0,410.0,418.0,-8.0,100.0,0.0
582,2022-02-11,KAPC,Kapchorua Tea Kenya Plc,80.0,101.0,92.0,92.0,92.0,92.0,0.0,0.0,0.0
583,2022-02-11,LIMT,Limuru Tea Plc,260.0,360.0,320.0,320.0,320.0,320.0,0.0,300.0,0.0
584,2022-02-11,SASN,Sasini Plc,16.75,22.6,22.3,22.3,22.3,20.95,1.35,300.0,0.0
585,2022-02-11,WTK,Williamson Tea Kenya Plc,125.0,154.75,133.0,133.0,133.0,134.0,-1.0,100.0,0.0
586,2022-02-11,CGEN,Car and General (K) Ltd,10.0,70.0,60.0,62.0,61.0,62.0,-1.0,6200.0,30.5
587,2022-02-11,ABSA,ABSA Bank Kenya Plc,8.6,12.95,11.6,11.85,11.65,11.6,0.05,251900.0,0.0
588,2022-02-11,BKG,BK Group Plc,24.3,40.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0
589,2022-02-11,COOP,Co-operative Bank of Kenya Ltd,11.5,14.0,12.85,13.05,12.95,12.85,0.1,1060300.0,0.0
590,2022-02-11,DTK,Diamond Trust Bank Kenya Ltd,54.0,69.0,58.25,60.0,58.25,60.0,-1.75,9800.0,0.0
591,2022-02-11,EQTY,Equity Group Holdings Plc,39.0,55.0,52.75,54.0,53.25,53.0,0.25,285200.0,0.0
592,2022-02-11,HFCK,HF Group Ltd,2.8,5.2,3.6,3.74,3.65,3.42,0.23,8500.0,0.0
593,2022-02-11,IMH,I & M Holdings Plc,18.0,26.0,21.3,21.5,21.45,21.45,0.0,21900.0,0.0
594,2022-02-11,KCB,KCB Group Plc,37.0,50.75,45.0,46.0,45.3,46.0,-0.7,124300.0,0.0
595,2022-02-11,NBK,National Bank of Kenya Ltd,4.12,4.12,4.12,4.12,4.12,4.12,0.0,0.0,0.0
596,2022-02-11,NCBA,NCBA Group Plc,23.0,29.0,25.0,25.8,25.25,25.35,-0.1,31600.0,0.0
597,2022-02-11,SBIC,Stanbic Holdings Plc,78.0,106.0,94.0,94.5,94.0,94.75,-0.75,3900.0,0.0
598,2022-02-11,SCBK,Standard Chartered Bank Kenya Ltd,123.0,148.75,136.25,138.0,137.5,137.5,0.0,2800.0,0.0
599,2022-02-11,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,0.0,0.0,0.0
600,2022-02-14,EGAD,Eaagads Ltd,10.0,15.0,13.1,13.1,13.1,13.1,0.0,0.0,0.0
601,2022-02-14,KUKZ,Kakuzi Plc,358.25,427.0,410.0,410.0,410.0,410.0,0.0,0.0,0.0
602,2022-02-14,KAPC,Kapchorua Tea Kenya Plc,80.0,101.0,92.0,92.0,92.0,92.0,0.0,0.0,0.0
603,2022-02-14,LIMT,Limuru Tea Plc,260.0,350.0,320.0,320.0,320.0,320.0,0.0,200.0,0.0
604,2022-02-14,SASN,Sasini Plc,16.75,22.6,20.1,22.3,20.8,22.3,-1.5,700.0,0.0
605,2022-02-14,WTK,Williamson Tea Kenya Plc,120.0,154.75,131.0,131.0,131.0,133.0,-2.0,200.0,0.0
606,2022-02-14,CGEN,Car and General (K) Ltd,10.0,70.0,62.0,62.0,62.0,61.0,1.0,200.0,31.0
607,2022-02-14,ABSA,ABSA Bank Kenya Plc,8.6,12.95,11.6,11.85,11.75,11.65,0.1,273300.0,0.0
608,2022-02-14,BKG,BK Group Plc,24.3,40.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0
609,2022-02-14,COOP,Co-operative Bank of Kenya Ltd,11.5,14.0,12.9,13.0,13.0,12.95,0.05,95700.0,0.0
610,2022-02-14,DTK,Diamond Trust Bank Kenya Ltd,54.0,69.0,58.0,60.0,58.0,58.25,-0.25,28100.0,0.0
611,2022-02-14,EQTY,Equity Group Holdings Plc,39.25,55.0,53.0,53.5,53.5,53.25,0.25,584000.0,0.0
612,2022-02-14,HFCK,HF Group Ltd,2.8,5.2,3.5,3.65,3.54,3.65,-0.11,6800.0,0.0
613,2022-02-14,IMH,I & M Holdings Plc,18.0,26.0,21.15,21.5,21.45,21.45,0.0,12600.0,0.0
614,2022-02-14,KCB,KCB Group Plc,37.0,50.75,45.6,45.8,45.65,45.3,0.35,90500.0,0.0
615,2022-02-14,NBK,National Bank of Kenya Ltd,4.12,4.12,4.12,4.12,4.12,4.12,0.0,0.0,0.0
616,2022-02-14,NCBA,NCBA Group Plc,23.0,29.0,25.25,25.55,25.5,25.25,0.25,16500.0,0.0
617,2022-02-14,SBIC,Stanbic Holdings Plc,78.0,106.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0
618,2022-02-14,SCBK,Standard Chartered Bank Kenya Ltd,123.0,148.75,136.25,137.5,137.0,137.5,-0.5,4000.0,0.0
619,2022-02-14,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,0.0,0.0,0.0
620,2022-02-15,EGAD,Eaagads Ltd,10.0,15.0,13.0,13.0,13.0,13.1,-0.1,300.0,0.0
621,2022-02-15,KUKZ,Kakuzi Plc,355.0,427.0,410.0,410.0,410.0,410.0,0.0,0.0,0.0
622,2022-02-15,KAPC,Kapchorua Tea Kenya Plc,80.0,101.0,92.0,92.0,92.0,92.0,0.0,0.0,0.0
623,2022-02-15,LIMT,Limuru Tea Plc,260.0,360.0,320.0,320.0,320.0,320.0,0.0,0.0,0.0
624,2022-02-15,SASN,Sasini Plc,16.75,22.6,20.1,21.0,20.85,20.8,0.05,6300.0,0.0
625,2022-02-15,WTK,Williamson Tea Kenya Plc,125.0,154.75,125.0,132.0,129.0,131.0,-2.0,1400.0,0.0
626,2022-02-15,CGEN,Car and General (K) Ltd,10.0,70.0,61.5,62.0,62.0,62.0,0.0,1600.0,31.0
627,2022-02-15,ABSA,ABSA Bank Kenya Plc,8.6,12.95,11.65,11.8,11.7,11.75,-0.05,136300.0,0.0
628,2022-02-15,BKG,BK Group Plc,24.3,40.0,29.0,29.0,29.0,30.0,-1.0,600.0,0.0
629,2022-02-15,COOP,Co-operative Bank of Kenya Ltd,11.5,14.0,13.0,13.5,13.0,13.0,0.0,651000.0,0.0
630,2022-02-15,DTK,Diamond Trust Bank Kenya Ltd,54.0,69.0,57.0,60.0,58.0,58.0,0.0,20400.0,0.0
631,2022-02-15,EQTY,Equity Group Holdings Plc,39.0,55.0,53.0,53.5,53.25,53.5,-0.25,1838000.0,0.0
632,2022-02-15,HFCK,HF Group Ltd,2.8,5.2,3.54,3.6,3.55,3.54,0.01,33100.0,0.0
633,2022-02-15,IMH,I & M Holdings Plc,18.0,26.0,21.0,21.5,21.05,21.45,-0.4,35700.0,0.0
634,2022-02-15,KCB,KCB Group Plc,37.0,50.75,45.6,46.0,45.95,45.65,0.3,214900.0,0.0
635,2022-02-15,NBK,National Bank of Kenya Ltd,4.12,4.12,4.12,4.12,4.12,4.12,0.0,0.0,0.0
636,2022-02-15,NCBA,NCBA Group Plc,23.0,29.0,25.05,26.0,25.5,25.5,0.0,13500.0,0.0
637,2022-02-15,SBIC,Stanbic Holdings Plc,78.0,106.0,92.5,94.5,94.5,94.0,0.5,530000.0,0.0
638,2022-02-15,SCBK,Standard Chartered Bank Kenya Ltd,123.0,148.75,133.0,135.0,134.75,137.0,-2.25,3600.0,0.0
639,2022-02-15,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,0.0,0.0,0.0
640,2022-02-16,EGAD,Eaagads Ltd,10.0,15.0,13.1,13.1,13.1,13.0,0.1,4500.0,0.0
641,2022-02-16,KUKZ,Kakuzi Plc,355.0,427.0,415.0,415.0,415.0,410.0,5.0,100.0,0.0
642,2022-02-16,KAPC,Kapchorua Tea Kenya Plc,80.0,101.0,95.0,95.0,95.0,92.0,3.0,300.0,0.0
643,2022-02-16,LIMT,Limuru Tea Plc,260.0,360.0,320.0,320.0,320.0,320.0,0.0,0.0,0.0
644,2022-02-16,SASN,Sasini Plc,16.75,22.6,20.0,22.3,20.95,20.85,0.1,900.0,0.0
645,2022-02-16,WTK,Williamson Tea Kenya Plc,125.0,154.75,129.0,129.0,129.0,129.0,0.0,0.0,0.0
646,2022-02-16,CGEN,Car and General (K) Ltd,10.0,70.0,62.0,64.0,63.0,62.0,1.0,2800.0,31.5
647,2022-02-16,ABSA,ABSA Bank Kenya Plc,8.6,12.95,11.65,12.0,11.7,11.7,0.0,586900.0,0.0
648,2022-02-16,BKG,BK Group Plc,24.3,40.0,29.3,30.0,29.85,29.0,0.85,5100.0,0.0
649,2022-02-16,COOP,Co-operative Bank of Kenya Ltd,11.5,14.0,13.0,13.35,13.05,13.0,0.05,853900.0,0.0
650,2022-02-16,DTK,Diamond Trust Bank Kenya Ltd,54.0,69.0,58.0,61.0,59.25,58.0,1.25,27000.0,0.0
651,2022-02-16,EQTY,Equity Group Holdings Plc,39.0,55.0,52.5,53.5,53.25,53.25,0.0,1033400.0,0.0
652,2022-02-16,HFCK,HF Group Ltd,2.8,5.2,3.5,3.75,3.59,3.55,0.04,4400.0,0.0
653,2022-02-16,IMH,I & M Holdings Plc,18.0,26.0,21.0,21.45,21.1,21.05,0.05,45100.0,0.0
654,2022-02-16,KCB,KCB Group Plc,37.0,50.75,45.55,46.5,45.8,45.95,-0.15,2054700.0,0.0
655,2022-02-16,NBK,National Bank of Kenya Ltd,4.12,4.12,4.12,4.12,4.12,4.12,0.0,0.0,0.0
656,2022-02-16,NCBA,NCBA Group Plc,23.0,29.0,25.05,25.5,25.25,25.5,-0.25,9400.0,0.0
657,2022-02-16,SBIC,Stanbic Holdings Plc,78.0,106.0,94.5,94.5,94.5,94.5,0.0,500.0,0.0
658,2022-02-16,SCBK,Standard Chartered Bank Kenya Ltd,123.0,148.75,133.0,137.0,134.25,134.75,-0.5,2100.0,0.0
659,2022-02-16,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,0.0,0.0,0.0
660,2022-02-17,EGAD,Eaagads Ltd,10.0,15.0,13.1,13.15,13.1,13.1,0.0,3000.0,0.0
661,2022-02-17,KUKZ,Kakuzi Plc,358.25,427.0,415.0,415.0,415.0,415.0,0.0,0.0,0.0
662,2022-02-17,KAPC,Kapchorua Tea Kenya Plc,80.0,101.0,95.0,95.0,95.0,95.0,0.0,0.0,0.0
663,2022-02-17,LIMT,Limuru Tea Plc,260.0,350.0,320.0,320.0,320.0,320.0,0.0,0.0,0.0
664,2022-02-17,SASN,Sasini Plc,16.75,22.6,21.0,21.85,21.5,20.95,0.55,1200.0,0.0
665,2022-02-17,WTK,Williamson Tea Kenya Plc,120.0,154.75,133.0,137.0,136.0,129.0,7.0,1200.0,0.0
666,2022-02-17,CGEN,Car and General (K) Ltd,10.0,70.0,62.0,66.0,63.25,63.0,0.25,1300.0,31.63
667,2022-02-17,ABSA,ABSA Bank Kenya Plc,8.6,12.95,11.7,12.0,11.75,11.7,0.05,79400.0,0.0
668,2022-02-17,BKG,BK Group Plc,24.3,40.0,28.5,30.0,29.25,29.85,-0.6,200.0,0.0
669,2022-02-17,COOP,Co-operative Bank of Kenya Ltd,11.5,14.0,13.0,13.35,13.05,13.05,0.0,3254900.0,0.0
670,2022-02-17,DTK,Diamond Trust Bank Kenya Ltd,54.0,69.0,59.0,59.0,59.0,59.25,-0.25,2200.0,0.0
671,2022-02-17,EQTY,Equity Group Holdings Plc,39.25,55.0,52.5,53.5,53.0,53.25,-0.25,1429200.0,0.0
672,2022-02-17,HFCK,HF Group Ltd,2.8,5.2,3.56,3.6,3.57,3.59,-0.02,600.0,0.0
673,2022-02-17,IMH,I & M Holdings Plc,18.0,26.0,20.5,21.0,20.55,21.1,-0.55,325000.0,0.0
674,2022-02-17,KCB,KCB Group Plc,37.0,50.75,45.85,46.45,45.9,45.8,0.1,683500.0,0.0
675,2022-02-17,NBK,National Bank of Kenya Ltd,4.12,4.12,4.12,4.12,4.12,4.12,0.0,0.0,0.0
676,2022-02-17,NCBA,NCBA Group Plc,23.0,29.0,25.0,25.5,25.2,25.25,-0.05,39500.0,0.0
677,2022-02-17,SBIC,Stanbic Holdings Plc,78.0,106.0,94.5,95.0,94.75,94.5,0.25,28000.0,0.0
678,2022-02-17,SCBK,Standard Chartered Bank Kenya Ltd,123.0,148.75,134.25,134.25,134.25,134.25,0.0,700.0,0.0
679,2022-02-17,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,0.0,0.0,0.0
680,2022-02-18,EGAD,Eaagads Ltd,10.0,15.0,13.1,13.1,13.1,13.1,0.0,0.0,0.0
681,2022-02-18,KUKZ,Kakuzi Plc,355.0,427.0,390.0,415.0,392.5,415.0,-22.5,1000.0,0.0
682,2022-02-18,KAPC,Kapchorua Tea Kenya Plc,80.0,101.0,96.0,96.0,96.0,95.0,1.0,500.0,0.0
683,2022-02-18,LIMT,Limuru Tea Plc,260.0,360.0,320.0,320.0,320.0,320.0,0.0,0.0,0.0
684,2022-02-18,SASN,Sasini Plc,16.75,22.6,20.95,22.3,21.4,21.5,-0.1,300.0,0.0
685,2022-02-18,WTK,Williamson Tea Kenya Plc,125.0,154.75,136.0,136.0,136.0,136.0,0.0,0.0,0.0
686,2022-02-18,CGEN,Car and General (K) Ltd,10.0,70.0,66.0,66.0,66.0,63.25,2.75,100.0,33.0
687,2022-02-18,ABSA,ABSA Bank Kenya Plc,8.6,12.95,11.75,12.1,12.0,11.75,0.25,425400.0,0.0
688,2022-02-18,BKG,BK Group Plc,24.3,40.0,29.25,29.25,29.25,29.25,0.0,0.0,0.0
689,2022-02-18,COOP,Co-operative Bank of Kenya Ltd,11.5,14.0,13.0,13.5,13.15,13.05,0.1,37700.0,0.0
690,2022-02-18,DTK,Diamond Trust Bank Kenya Ltd,54.0,69.0,58.0,59.0,59.0,59.0,0.0,15400.0,0.0
691,2022-02-18,EQTY,Equity Group Holdings Plc,39.0,55.0,52.0,53.25,52.5,53.0,-0.5,997600.0,0.0
692,2022-02-18,HFCK,HF Group Ltd,2.8,5.2,3.4,3.59,3.51,3.57,-0.06,7200.0,0.0
693,2022-02-18,IMH,I & M Holdings Plc,18.0,26.0,21.5,21.5,21.5,20.55,0.95,20200.0,0.0
694,2022-02-18,KCB,KCB Group Plc,37.0,50.75,45.95,46.4,46.0,45.9,0.1,341100.0,0.0
695,2022-02-18,NBK,National Bank of Kenya Ltd,4.12,4.12,4.12,4.12,4.12,4.12,0.0,0.0,0.0
696,2022-02-18,NCBA,NCBA Group Plc,23.0,29.0,25.0,25.5,25.05,25.2,-0.15,46800.0,0.0
697,2022-02-18,SBIC,Stanbic Holdings Plc,78.0,106.0,95.0,97.0,96.25,94.75,1.5,700.0,0.0
698,2022-02-18,SCBK,Standard Chartered Bank Kenya Ltd,123.0,148.75,134.25,134.25,134.25,134.25,0.0,200.0,0.0
699,2022-02-18,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,0.0,0.0,0.0
700,2022-02-21,EGAD,Eaagads Ltd,10.0,15.0,13.1,13.1,13.1,13.1,0.0,0.0,0.0
701,2022-02-21,KUKZ,Kakuzi Plc,355.0,427.0,392.5,392.5,392.5,392.5,0.0,0.0,0.0
702,2022-02-21,KAPC,Kapchorua Tea Kenya Plc,80.0,101.0,96.0,96.0,96.0,96.0,0.0,0.0,0.0
703,2022-02-21,LIMT,Limuru Tea Plc,260.0,360.0,320.0,320.0,320.0,320.0,0.0,0.0,0.0
704,2022-02-21,SASN,Sasini Plc,16.75,22.6,20.1,22.3,20.2,21.4,-1.2,21100.0,0.0
705,2022-02-21,WTK,Williamson Tea Kenya Plc,125.0,154.75,136.0,136.0,136.0,136.0,0.0,0.0,0.0
706,2022-02-21,CGEN,Car and General (K) Ltd,10.0,70.0,65.0,66.0,65.75,66.0,-0.25,3000.0,32.88
707,2022-02-21,ABSA,ABSA Bank Kenya Plc,8.6,12.95,11.8,12.1,12.0,12.0,0.0,87900.0,0.0
708,2022-02-21,BKG,BK Group Plc,24.3,40.0,29.9,29.9,29.9,29.25,0.65,100.0,0.0
709,2022-02-21,COOP,Co-operative Bank of Kenya Ltd,11.5,14.0,13.0,13.4,13.15,13.15,0.0,103400.0,0.0
710,2022-02-21,DTK,Diamond Trust Bank Kenya Ltd,54.0,69.0,58.0,59.0,58.75,59.0,-0.25,15100.0,0.0
711,2022-02-21,EQTY,Equity Group Holdings Plc,39.0,55.0,52.25,53.0,52.5,52.5,0.0,11400.0,0.0
712,2022-02-21,HFCK,HF Group Ltd,2.8,5.2,3.51,3.7,3.61,3.51,0.1,2900.0,0.0
713,2022-02-21,IMH,I & M Holdings Plc,18.0,26.0,21.0,21.5,21.35,21.5,-0.15,2500.0,0.0
714,2022-02-21,KCB,KCB Group Plc,37.0,50.75,45.95,46.45,46.0,46.0,0.0,214200.0,0.0
715,2022-02-21,NBK,National Bank of Kenya Ltd,4.12,4.12,4.12,4.12,4.12,4.12,0.0,0.0,0.0
716,2022-02-21,NCBA,NCBA Group Plc,23.0,29.0,25.0,25.8,25.05,25.05,0.0,62700.0,0.0
717,2022-02-21,SBIC,Stanbic Holdings Plc,78.0,106.0,90.0,95.0,93.25,96.25,-3.0,1200.0,0.0
718,2022-02-21,SCBK,Standard Chartered Bank Kenya Ltd,123.0,148.75,134.5,137.0,135.5,134.25,1.25,9500.0,0.0
719,2022-02-21,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,0.0,0.0,0.0
720,2022-02-22,EGAD,Eaagads Ltd,10.0,15.0,13.1,13.1,13.1,13.1,0.0,0.0,0.0
721,2022-02-22,KUKZ,Kakuzi Plc,355.0,427.0,415.0,415.0,415.0,392.5,22.5,100.0,0.0
722,2022-02-22,KAPC,Kapchorua Tea Kenya Plc,80.0,101.0,96.0,96.0,96.0,96.0,0.0,100.0,0.0
723,2022-02-22,LIMT,Limuru Tea Plc,260.0,360.0,320.0,320.0,320.0,320.0,0.0,0.0,0.0
724,2022-02-22,SASN,Sasini Plc,16.75,22.6,20.1,22.2,21.7,20.2,1.5,6800.0,0.0
725,2022-02-22,WTK,Williamson Tea Kenya Plc,125.0,154.75,136.0,136.0,136.0,136.0,0.0,0.0,0.0
726,2022-02-22,CGEN,Car and General (K) Ltd,10.0,70.0,66.0,69.0,66.25,65.75,0.5,2100.0,33.13
727,2022-02-22,ABSA,ABSA Bank Kenya Plc,8.6,12.95,11.9,12.5,11.9,12.0,-0.1,6232100.0,0.0
728,2022-02-22,BKG,BK Group Plc,24.3,40.0,29.9,29.9,29.9,29.9,0.0,0.0,0.0
729,2022-02-22,COOP,Co-operative Bank of Kenya Ltd,11.5,14.0,13.05,13.4,13.15,13.15,0.0,84700.0,0.0
730,2022-02-22,DTK,Diamond Trust Bank Kenya Ltd,54.0,69.0,58.0,59.0,58.25,58.75,-0.5,3900.0,0.0
731,2022-02-22,EQTY,Equity Group Holdings Plc,39.0,55.0,51.0,52.75,52.0,52.5,-0.5,1534400.0,0.0
732,2022-02-22,HFCK,HF Group Ltd,2.8,5.2,3.6,3.64,3.61,3.61,0.0,5900.0,0.0
733,2022-02-22,IMH,I & M Holdings Plc,18.0,26.0,20.5,21.5,20.6,21.35,-0.75,142700.0,0.0
734,2022-02-22,KCB,KCB Group Plc,37.0,50.75,45.55,46.0,45.95,46.0,-0.05,757800.0,0.0
