Date,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Volume,Adjusted Price,SMA-20,EMA-20,CCI,ROC,Gain,Loss,RSI,Decision
2022-01-03,39.0,55.0,51.0,54.5,52.75,52.75,0.0,4702000.0,0.0,50.374969879518076,52.75,1333.3333333333335,-1.6934417352251374,0.0,0.0,42.17907227615966,1
2022-01-04,39.0,55.0,53.0,53.5,53.25,52.75,0.5,2160700.0,0.0,50.374969879518076,53.0125,1333.3333333333333,-1.6934417352251374,0.5,0.0,42.17907227615966,0
2022-01-05,39.0,55.0,53.0,53.25,53.0,53.25,-0.25,658900.0,0.0,50.374969879518076,53.007910074937556,1333.3333333333335,-1.6934417352251374,0.0,0.25,42.17907227615966,1
2022-01-06,39.0,55.0,53.0,53.25,53.0,53.0,0.0,243200.0,0.0,50.374969879518076,53.005626558603495,1333.3333333333335,-1.6934417352251374,0.0,0.0,42.17907227615966,1
2022-01-07,39.0,55.0,53.0,53.25,53.0,53.0,0.0,686300.0,0.0,50.374969879518076,53.00426554195828,1333.3333333333335,-1.6934417352251374,0.0,0.0,42.17907227615966,1
2022-01-10,39.0,55.0,51.25,53.0,52.75,53.0,-0.25,528700.0,0.0,50.374969879518076,52.95062712679467,1333.3333333333333,-1.6934417352251374,0.0,0.25,42.17907227615966,1
2022-01-11,39.0,55.0,51.5,53.25,52.0,52.75,-0.75,34700.0,0.0,50.374969879518076,52.77088706686012,1333.3333333333335,-1.6934417352251374,0.0,0.75,42.17907227615966,1
2022-01-12,39.0,55.0,50.0,51.25,50.25,52.0,-1.75,155000.0,0.0,50.374969879518076,52.33513907042519,1333.3333333333335,-1.6934417352251374,0.0,1.75,42.17907227615966,1
2022-01-13,39.0,55.0,49.2,50.75,49.55,50.25,-0.7,852300.0,0.0,50.374969879518076,51.88838914486291,1333.3333333333333,-1.6934417352251374,0.0,0.7,42.17907227615966,1
2022-01-14,39.0,55.0,49.0,50.0,49.5,49.55,-0.05,37100.0,0.0,50.374969879518076,51.528718434642435,1333.3333333333335,-1.6934417352251374,0.0,0.05,42.17907227615966,1
2022-01-17,39.0,55.0,49.15,50.0,49.5,49.5,0.0,427300.0,0.0,50.374969879518076,51.239234870097484,1333.3333333333335,-6.161137440758294,0.0,0.0,42.17907227615966,1
2022-01-18,39.0,55.0,49.5,51.0,50.0,49.5,0.5,1351300.0,0.0,50.374969879518076,51.07041619047743,1333.3333333333333,-6.103286384976526,0.5,0.0,42.17907227615966,0
2022-01-19,39.0,55.0,50.0,51.0,50.25,50.0,0.25,349700.0,0.0,50.374969879518076,50.963053221240315,1333.3333333333335,-5.188679245283019,0.25,0.0,42.17907227615966,0
2022-01-20,39.0,55.0,50.5,51.5,51.25,50.25,1.0,1546500.0,0.0,50.374969879518076,50.99931246377886,1333.3333333333333,-3.30188679245283,1.0,0.0,42.17907227615966,0
2022-01-21,39.0,55.0,51.25,51.75,51.5,51.25,0.25,698800.0,0.0,50.374969879518076,51.06067074571644,1333.3333333333333,-2.8301886792452833,0.25,0.0,42.17907227615966,0
2022-01-24,39.0,55.0,51.25,52.0,51.5,51.5,0.0,5687400.0,0.0,50.374969879518076,51.11307843798391,1333.3333333333335,-2.3696682464454977,0.0,0.0,42.17907227615966,1
2022-01-25,39.0,55.0,50.75,52.5,51.75,51.5,0.25,1223600.0,0.0,50.374969879518076,51.18727243922841,1333.3333333333333,-0.4807692307692308,0.25,0.0,42.17907227615966,0
2022-01-26,39.0,55.0,50.0,51.0,50.0,51.75,-1.75,602300.0,0.0,50.374969879518076,51.05184676378079,1333.3333333333333,-0.4975124378109453,0.0,1.75,42.17907227615966,1
2022-01-27,39.0,55.0,49.65,50.75,50.25,50.0,0.25,189300.0,0.0,50.374969879518076,50.9620745781244,1333.3333333333335,1.4127144298688252,0.25,0.0,42.17907227615966,0
2022-01-28,39.0,55.0,50.0,50.75,50.25,50.25,0.0,50100.0,0.0,51.265,50.883663921187285,1333.3333333333333,1.5151515151515151,0.0,0.0,42.17907227615966,1
2022-01-31,39.0,55.0,50.0,52.25,50.5,50.25,0.25,1404800.0,0.0,51.152499999999996,50.8420357948975,1333.3333333333335,2.0202020202020203,0.25,0.0,42.17907227615966,0
2022-02-01,39.0,55.0,51.0,53.0,52.75,50.5,2.25,4721700.0,0.0,51.1275,51.046343031660214,1333.3333333333335,5.5,2.25,0.0,42.17907227615966,0
2022-02-02,39.0,55.0,52.0,53.5,53.0,52.75,0.25,2262500.0,0.0,51.1275,51.25309451305945,1333.3333333333333,5.472636815920398,0.25,0.0,42.17907227615966,0
2022-02-03,39.0,55.0,52.25,53.25,53.0,53.0,0.0,1652000.0,0.0,51.1275,51.4360286689769,1333.3333333333333,3.414634146341464,0.0,0.0,42.17907227615966,1
2022-02-04,39.0,55.0,52.25,53.0,53.0,53.0,0.0,2081800.0,0.0,51.1275,51.59826797546548,1333.3333333333335,2.912621359223301,0.0,0.0,42.17907227615966,1
2022-02-07,39.0,55.0,52.0,53.0,53.0,53.0,0.0,1636800.0,0.0,51.14,51.742452123445204,1333.3333333333335,2.912621359223301,0.0,0.0,42.17907227615966,1
2022-02-08,39.0,55.0,52.0,53.0,52.75,53.0,-0.25,839500.0,0.0,51.177499999999995,51.845305842396115,1333.3333333333335,1.932367149758454,0.0,0.25,42.17907227615966,1
2022-02-09,39.0,55.0,52.0,53.75,52.5,52.75,-0.25,6720900.0,0.0,51.29,51.911684750856985,1333.3333333333335,5.0,0.0,0.25,42.17907227615966,1
2022-02-10,39.25,55.0,52.5,53.0,53.0,52.5,0.5,1886800.0,0.0,51.4625,52.02135356635097,1333.3333333333333,5.472636815920398,0.5,0.0,42.17907227615966,0
2022-02-11,39.0,55.0,52.75,54.0,53.25,53.0,0.25,285200.0,0.0,51.65,52.14448240703081,1333.3333333333333,5.970149253731343,0.25,0.0,42.17907227615966,0
2022-02-14,39.25,55.0,53.0,53.5,53.5,53.25,0.25,584000.0,0.0,51.85,52.27965290996329,1333.3333333333333,5.9405940594059405,0.25,0.0,42.17907227615966,0
